      r[a_0]     n[bound]   n[unbound]
2.241536e-04 1.120550e+02 8.549520e+00
2.256031e-04 1.120935e+02 8.552455e+00
2.270621e-04 1.121317e+02 8.555370e+00
2.285304e-04 1.121696e+02 8.558264e+00
2.300083e-04 1.122073e+02 8.561139e+00
2.314957e-04 1.122447e+02 8.563993e+00
2.329927e-04 1.122818e+02 8.566828e+00
2.344994e-04 1.123187e+02 8.569643e+00
2.360158e-04 1.123554e+02 8.572438e+00
2.375421e-04 1.123918e+02 8.575214e+00
2.390782e-04 1.124279e+02 8.577971e+00
2.406243e-04 1.124638e+02 8.580708e+00
2.421803e-04 1.124994e+02 8.583426e+00
2.437464e-04 1.125348e+02 8.586125e+00
2.453227e-04 1.125699e+02 8.588804e+00
2.469091e-04 1.126048e+02 8.591465e+00
2.485058e-04 1.126394e+02 8.594107e+00
2.501128e-04 1.126738e+02 8.596731e+00
